Date,Price,Pop
2020-07-28 18:30:16.796792,74.49,237913
2020-07-28 18:30:32.220813,74.5,237913
2020-07-28 18:30:47.651617,74.49,237913
2020-07-28 18:31:03.113006,74.48,237913
2020-07-28 18:31:18.552298,74.47,237913
2020-07-28 18:31:34.010888,74.47,237913
2020-07-28 18:31:49.430331,74.47,237913
2020-07-28 18:32:04.855598,74.45,237913
2020-07-28 18:32:20.270099,74.47,237913
2020-07-28 18:32:35.705119,74.48,237913
2020-07-28 18:32:51.127170,74.48,237913
2020-07-28 18:33:06.580925,74.45,237913
2020-07-28 18:33:22.014983,74.45,237913
2020-07-28 18:33:37.438785,74.4,237913
2020-07-28 18:33:52.870453,74.4,237913
2020-07-28 18:34:08.310538,74.38,237913
2020-07-28 18:34:23.753441,74.4,237913
2020-07-28 18:34:39.159580,74.4,237913
2020-07-28 18:34:54.573560,74.4,237913
2020-07-28 18:35:10.013907,74.4,237913
2020-07-28 18:35:25.443929,74.4,237913
2020-07-28 18:35:40.857203,74.4,237913
2020-07-28 18:35:56.289266,74.4,237913
2020-07-28 18:36:11.752560,74.35,237913
2020-07-28 18:36:27.175158,74.4,237913
2020-07-28 18:36:42.597118,74.33,237913
2020-07-28 18:36:58.018600,74.33,237913
2020-07-28 18:37:13.556722,74.33,237913
2020-07-28 18:37:28.979667,74.4,237913
2020-07-28 18:37:44.394489,74.4,237913
2020-07-28 18:37:59.831311,74.45,237913
2020-07-28 18:38:15.272703,74.45,237913
2020-07-28 18:38:30.695477,74.45,237913
2020-07-28 18:38:46.118443,74.45,237913
2020-07-28 18:39:01.541113,74.45,237913
2020-07-28 18:39:16.960366,74.45,237913
2020-07-28 18:39:32.393015,74.4,237913
2020-07-28 18:39:47.819959,74.4,237913
2020-07-28 18:40:03.247259,74.4,237913
2020-07-28 18:40:18.683896,74.33,237913
2020-07-28 18:40:34.103608,74.45,237913
2020-07-28 18:40:49.532528,74.32,237913
2020-07-28 18:41:04.977822,74.45,237913
2020-07-28 18:41:20.408837,74.33,237913
2020-07-28 18:41:35.861386,74.32,237913
2020-07-28 18:41:51.263657,74.3,237913
2020-07-28 18:42:06.704729,74.4,237913
2020-07-28 18:42:22.130497,74.34,237913
2020-07-28 18:42:37.556229,74.4,237913
2020-07-28 18:42:52.997360,74.4,237913
2020-07-28 18:43:08.423821,74.31,237913
2020-07-28 18:43:23.865132,74.3,237913
2020-07-28 18:43:39.272377,74.3,237913
2020-07-28 18:43:54.701995,74.27,237913
2020-07-28 18:44:10.134065,74.27,237913
2020-07-28 18:44:25.573999,74.29,237913
2020-07-28 18:44:40.993566,74.29,237913
2020-07-28 18:44:56.407211,74.23,237913
2020-07-28 18:45:11.811584,74.23,237913
Date,Price,Pop
2020-07-28 18:45:27.241336,74.19,237913
2020-07-28 18:45:42.663463,74.29,237913
2020-07-28 18:45:58.084212,74.29,237913
2020-07-28 18:46:13.495389,74.29,237913
2020-07-28 18:46:28.940312,74.16,237913
2020-07-28 18:46:44.379118,74.29,237913
2020-07-28 18:46:59.819678,74.29,237913
2020-07-28 18:47:15.233304,74.2,237913
2020-07-28 18:47:30.650767,74.2,237913
2020-07-28 18:47:46.072922,74.2,237913
2020-07-28 18:48:01.504832,74.29,237913
2020-07-28 18:48:16.947403,74.2,237913
2020-07-28 18:48:32.407781,74.29,237913
2020-07-28 18:48:47.851431,74.25,237913
